EventId,EventTemplate,Occurrences
1541e39a,giving name <*> to the DHCP lease of <*> because the name exists in /tmp/hosts/dhcp.cfg01411c with address <*>,1142
07a7d844,<*> c2:bc:c6:<*>:3c:9a,9
783333bd,<*> <*> wrong address,19
dd94ac01,<*> c2:bc:c6:<*>:3c:9a iPhone,8
5fe665a4,<*> ce:c8:9d:<*>:c5:1e,46
3c9e700b,<*> ce:c8:9d:<*>:c5:1e Watch,46
bf1d534d,3e:<*>:<*>:ac:1c:<*>,6
8fc5c7fc,<*> 3e:<*>:<*>:ac:1c:<*>,11
be9d1b55,<*> 3e:<*>:<*>:ac:1c:<*> tuanhace-s-Samsung-S20-FE,5
c792cbf0,<*> <*>:3f:de:dc:cc:<*>,6
2f88821e,<*> <*>:3f:de:dc:cc:<*> iPhone,6
453251a9,<*> a2:<*>:d5:b6:<*>:<*>,21
f749ce53,<*> a2:<*>:d5:b6:<*>:<*> Mac,21
5c76f617,<*> <*>:<*>:db:<*>:6b:<*>,6
2d4bc3a8,aa:c5:df:ca:4d:<*>,1
3a326a1b,<*> aa:c5:df:ca:4d:<*>,2
9332a37d,<*> aa:c5:df:ca:4d:<*> Redmi-Note-<*>-Pro-5G,1
a89f3f7c,8a:1f:9d:da:bf:<*>,1
c9b71b15,<*> 8a:1f:9d:da:bf:<*>,2
2524c50e,<*> 8a:1f:9d:da:bf:<*> S21-FE-cua-Hieu,1
e3d1b03e,56:<*>:0b:5d:db:e<*>,2
a63ad171,<*> <*>:<*>:0b:5d:db:e<*>,4
755af120,<*> <*>:<*>:0b:5d:db:e0 S21-cua-Trung,2
a0ecd49b,<*> <*>:e9:ec:7d:dd:<*>,1
93c9eb27,<*> <*>:e9:ec:7d:dd:<*> iPhone,1
c6c5c5c3,<*> ce:<*>:9d:<*>:2a:c<*>,4
7229368a,36:f9:4a:<*>:<*>:d<*>,3
3e251333,<*> <*>:f9:4a:<*>:<*>:d<*>,6
14c324e2,<*> <*>:f9:4a:<*>:<*>:d1 iPhone,3
9d1290e9,92:<*>:cf:1e:e6:e<*>,1
951b403f,<*> <*>:<*>:cf:1e:e6:e<*>,3
24dc1a1d,<*> <*>:<*>:cf:1e:e6:e2 iPhone,2
49e4dc2c,<*> b6:f4:<*>:<*>:<*>:6a,4
4a571aa4,Path is invalid: Device.Ethernet.Interface.<*>.MACAddress,13
a329b4ba,Path (Device.Ethernet.Interface.<*>.MACAddress) does not exist in the schema,13
ce7a5243,<*> a2:<*>:<*>:7e:0b:<*>,62
0682ded2,fe:b4:d3:cd:6a:<*>,2
49a000ab,<*> fe:b4:d3:cd:6a:<*>,4
13a1f37f,84:7a:b6:e9:<*>:4f,1
a5d447e1,<*> <*>:7a:b6:e9:<*>:4f,2
f7b215e5,<*> <*>:7a:b6:e9:<*>:4f <*>,1
ab8f69a7,aa:ae:a1:<*>:a6:5b,1
c4f782cc,<*> aa:ae:a1:<*>:a6:5b,4
44f9cf49,<*> aa:ae:a1:<*>:a6:5b Redmi-12C,3
47e0bc64,82:5b:c4:dc:bc:c<*>,2
b6a4c0f2,<*> <*>:5b:c4:dc:bc:c<*>,3
c692c8dd,<*> <*>:5b:c4:dc:bc:c0 iPhone,1
366f9c18,1a:af:ac:e2:8b:2c,1
4c446caf,<*> 1a:af:ac:e2:8b:2c,3
f0a54398,<*> 1a:af:ac:e2:8b:2c iPhone,2
a8062b8d,<*> <*>:d5:ec:1c:b7:<*>,33
